idnax;fecha imagen;ID;CAMPO;FINCA;ZONA;MANDADOR;ZAFRA 20-21;variedad;soca;edad;zona eco;zonas;fs;tipo riego;area;activo;nubosidad;leyenda 08 NDVI 2 (con nubes);valor 08 NDVI 2 (con nubes);leyenda 09 Nivel de NDVI óptimo;valor 09 Nivel de NDVI óptimo;leyenda 10 Anomalías;valor 10 Anomalías;leyenda 11 Necesidades de Nitrógeno;valor 11 Necesidades de Nitrógeno;leyenda 12 Producción;valor 12 Producción;leyenda 13 Maduración;valor 13 Maduración;leyenda 14 Maduración 2 (con nubes);valor 14 Maduración 2 (con nubes);leyenda 15 Cosecha;valor 15 Cosecha;leyenda Biomasa (m2 caña/m2);valor Biomasa (m2 caña/m2);leyenda Biomasa 2 (con nubes);valor Biomasa 2 (con nubes);leyenda Clorofila (mg/cm2);valor Clorofila (mg/cm2);leyenda Contenido de agua (mg/cm2);valor Contenido de agua (mg/cm2);leyenda Contenido de agua 2 (con nubes);valor Contenido de agua 2 (con nubes);leyenda Evolución hídrica;valor Evolución hídrica;leyenda NDVI;valor NDVI;leyenda Nivel de agua óptimo;valor Nivel de agua óptimo;leyenda Nivel de biomasa óptimo;valor Nivel de biomasa óptimo;leyenda Nivel de clorofila óptimo;valor Nivel de clorofila óptimo;leyenda msavi2;valor msavi2;leyenda ndwi;valor ndwi
235503;2022-05-28;160101;1601-0;SUCUYA;PBA;;;CP722086;5.0;3.0;;PBA;2023-03-25;3.0;3.0232;True;0.1023;0.2-0.3;0.2679;+30% del optimo;4.8309;Sin incidencia;-0.0331;Normal;1.0;ALTA;0.9609;0.2;0.1467;0.2;0.1467;Ya cosechado;0.0;0.6;0.491;0.6;0.491;10-15;13.3285;0.01;0.0088;0.01;0.0088;15 dias perdiendo agua;-3.0;0.2-0.3;0.2629;+30% del optimo;5.0;-20% del optimo;1.0147;+30% del optimo;5.0;0-0.2;-0.3943;0-0.4;0.3528
235504;2022-05-28;160102;1601-0;SUCUYA;PBA;;;CP722086;5.0;3.0;;PBA;2023-03-25;3.0;1.7657;True;0.1136;0.3-0.4;0.3308;+30% del optimo;5.0;Sin incidencia;0.0;Normal;1.0;ALTA;0.9633;0.2;0.1696;0.2;0.1696;Cosechar;0.9487;0.6;0.5718;0.6;0.5718;15-20;17.4674;0.0125;0.0104;0.0125;0.0104;5 dias perdiendo agua;-1.1026;0.3-0.4;0.3256;+30% del optimo;5.0;-30% del optimo;1.0;+30% del optimo;5.0;0-0.2;-0.3635;0-0.4;0.3796
235505;2022-05-28;160103;1601-0;SUCUYA;PBA;;;CP722086;5.0;3.0;;PBA;2023-03-25;3.0;1.6142;True;0.0687;0.3-0.4;0.3306;+30% del optimo;4.9866;Sin incidencia;0.0;Normal;1.0;ALTA;0.9595;0.2;0.1731;0.2;0.1731;Cosechar;1.0;0.6;0.5648;0.6;0.5648;15-20;17.086;0.0125;0.0103;0.0125;0.0103;Ganando o manteniendo agua;-0.9866;0.3-0.4;0.3261;+30% del optimo;5.0;-20% del optimo;1.0604;+30% del optimo;5.0;0-0.2;-0.3617;0-0.4;0.3786
235506;2022-05-28;160104;1601-0;SUCUYA;PBA;;;CP722086;5.0;3.0;;PBA;2023-03-25;3.0;1.3867;True;0.0791;0.3-0.4;0.3371;+30% del optimo;5.0;Sin incidencia;0.0;Normal;1.0;ALTA;0.9549;0.2;0.1746;0.2;0.1746;Cosechar;1.0;0.6;0.5585;0.6;0.5585;15-20;16.8835;0.01;0.0098;0.01;0.0098;5 dias perdiendo agua;-1.0;0.3-0.4;0.3316;+30% del optimo;5.0;-30% del optimo;1.0;+30% del optimo;5.0;0-0.2;-0.3597;0-0.4;0.3825
235507;2022-05-28;160105;1601-0;SUCUYA;PBA;;;CP722086;5.0;3.0;;PBA;2023-03-25;3.0;1.7714;True;0.1341;0.4-0.5;0.412;+30% del optimo;5.0;Sin incidencia;0.0;Normal;1.0;ALTA;0.9942;0.3;0.2525;0.3;0.2525;Cosechar;1.0;1;0.8281;1;0.8281;25-30;29.3918;0.0175;0.0153;0.0175;0.0153;10 dias perdiendo agua;-2.8452;0.4-0.5;0.4067;+30% del optimo;5.0;-20% del optimo;1.1677;+30% del optimo;5.0;0-0.2;-0.3211;0.4-0.45;0.4309
235508;2022-05-28;160201;1602-0;SUCUYA;PBA;;;OTRAS;10.0;3.0;;PBA;2023-03-26;3.0;3.4389;True;0.0988;0.4-0.5;0.4187;+30% del optimo;5.0;Sin incidencia;0.0;Normal;1.0;NORMAL;0.8181;0.3;0.2836;0.3;0.2836;Cosechar;1.0;1;0.8833;1;0.8833;30-35;31.0881;0.0175;0.0167;0.0175;0.0167;Ganando o manteniendo agua;0.0;0.4-0.5;0.4136;+30% del optimo;5.0;+30% del optimo;5.0;+30% del optimo;5.0;0-0.2;-0.3243;0.4-0.45;0.4317
235509;2022-05-28;160202;1602-0;SUCUYA;PBA;;;OTRAS;10.0;3.0;;PBA;2023-03-26;3.0;1.8762;True;0.1005;0.5-0.6;0.5237;+30% del optimo;4.9706;Sin incidencia;0.0;Normal;0.9969;NORMAL;0.7648;0.4;0.3582;0.4;0.3582;Cosechar;0.9765;1.2;1.1709;1.2;1.1709;40-50;45.0931;0.025;0.0223;0.025;0.0223;Ganando o manteniendo agua;0.0;0.5-0.6;0.5187;+30% del optimo;4.9588;+30% del optimo;4.9706;+30% del optimo;4.9588;0-0.2;-0.2545;0.45-0.5;0.4814
235510;2022-05-28;160301;1603-0;SUCUYA;PBA;;;CP731547;2.0;5.0;;PBA;2023-01-20;3.0;1.0024;True;0.0667;0.7-0.8;0.7361;+30% del optimo;4.051;Sin incidencia;0.0;Normal;0.9449;BAJA;0.6321;;;;;Ya cosechado;0.0;2.8;2.6223;2.8;2.6223;100-150;149.282;0.06;0.0545;0.06;0.0545;Ganando o manteniendo agua;0.0;0.7-0.8;0.731;+30% del optimo;4.3469;+30% del optimo;4.7041;+30% del optimo;4.2857;0-0.2;0.0009;0.625-0.65;0.6342
235511;2022-05-28;160302;1603-0;SUCUYA;PBA;;;CP731547;2.0;5.0;;PBA;2023-01-20;3.0;1.425;True;0.1197;0.7-0.8;0.7493;+30% del optimo;4.016;Sin incidencia;0.0;Normal;0.9724;BAJA;0.6678;;;;;Ya cosechado;0.0;2.8;2.5946;2.8;2.5946;100-150;144.5672;0.06;0.0538;0.06;0.0538;Ganando o manteniendo agua;0.0;0.7-0.8;0.7446;+30% del optimo;4.48;+30% del optimo;4.784;+30% del optimo;4.464;0-0.2;0.0201;0.625-0.65;0.639
235512;2022-05-28;160303;1603-0;SUCUYA;PBA;;;CP731547;2.0;5.0;;PBA;2023-01-20;3.0;0.6985;True;0.1594;0.7-0.8;0.757;+30% del optimo;4.0172;Sin incidencia;0.0;Normal;0.9997;NORMAL;0.7748;0.7;0.629;0.7;0.629;Cosechar;0.0172;2.8;2.4381;2.8;2.4381;100-150;134.1012;0.05;0.0488;0.05;0.0488;Ganando o manteniendo agua;-0.0517;0.7-0.8;0.7524;+30% del optimo;4.3103;+30% del optimo;4.6897;+30% del optimo;4.5517;0-0.2;0.0229;0.625-0.65;0.6449
