CODLOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPOMAD,TCHREAL,ccMAD,DIASMAD,EDAD,DIASSUP,MES ,NUMES,RIEGO,CORE
53087,Montelimar,E-03,QUEMADO,CG04-10295,No,NO APLICADO, 115.34 , -   , -   , 327.00 , 2.00 ,Nov,1,Con Riego, 93.16 
53087,Montelimar,E-03,QUEMADO,CG04-10295,No,NO APLICADO, 115.34 , -   , -   , 327.00 , 2.00 ,Nov,1,Con Riego, 101.17 
54014,Los Jicaros,GTE.-07,QUEMADO,CP72-2086,No,NO APLICADO, 138.50 , -   , -   , 286.00 , 2.00 ,Nov,1,Con Riego, 100.55 
53087,Montelimar,E-03,QUEMADO,CG04-10295,No,NO APLICADO, 115.34 , -   , -   , 328.00 , 3.00 ,Nov,1,Con Riego, 96.26 
53094,Montelimar,E-10,QUEMADO,CP72-2086,No,NO APLICADO, 84.62 , -   , -   , 294.00 , 3.00 ,Nov,1,Con Riego, 81.68 
51058,Loma Alegre,M-01,VERDE,NA56-42,Si,TOUCHDOWN 36SL, 89.89 , 14.13 , 52.00 , 338.00 , 16.00 ,Dic,2,Con Riego, 127.99 
51058,Loma Alegre,M-01,VERDE,NA56-42,Si,TOUCHDOWN 36SL, 89.89 , 14.13 , 53.00 , 339.00 , 17.00 ,Dic,2,Con Riego, 129.01 
51058,Loma Alegre,M-01,VERDE,NA56-42,Si,TOUCHDOWN 36SL, 89.89 , 14.13 , 53.00 , 339.00 , 17.00 ,Dic,2,Con Riego, 137.76 
51058,Loma Alegre,M-01,VERDE,NA56-42,Si,TOUCHDOWN 36SL, 89.89 , 14.13 , 53.00 , 339.00 , 17.00 ,Dic,2,Con Riego, 123.30 
51058,Loma Alegre,M-01,VERDE,NA56-42,Si,TOUCHDOWN 36SL, 89.89 , 14.13 , 53.00 , 339.00 , 17.00 ,Dic,2,Con Riego, 134.62 
51058,Loma Alegre,M-01,VERDE,NA56-42,Si,TOUCHDOWN 36SL, 89.89 , 14.13 , 53.00 , 339.00 , 17.00 ,Dic,2,Con Riego, 125.60 
51058,Loma Alegre,M-01,VERDE,NA56-42,Si,TOUCHDOWN 36SL, 89.89 , 14.13 , 53.00 , 339.00 , 17.00 ,Dic,2,Con Riego, 126.88 
54018,Los Jicaros,GTE.-08,QUEMADO,CP72-2086,No,NO APLICADO, 127.04 , -   , -   , 238.00 , -   ,Dic,2,Con Riego, 97.13 
51058,Loma Alegre,M-01,VERDE,NA56-42,Si,TOUCHDOWN 36SL, 89.89 , 14.13 , 53.00 , 339.00 , 17.00 ,Dic,2,Con Riego, 128.40 
54018,Los Jicaros,GTE.-08,QUEMADO,CP72-2086,No,NO APLICADO, 127.04 , -   , -   , 238.00 , -   ,Dic,2,Con Riego, 98.93 
