ZAFRA;ZONA;FINCAS;COD CAMPO;CAMPO;VARIEDAD;RIEGO 2;N° CORTE;RIEGO;SUELO;TM/HA REAL;EDAD;CORE;DIAS MAD;DIAS SUSP;MES CORTE;MADURANTE;TIPO DE CORTE
20162017;4;San Jose Nagarote;58008;SJ-08;RB86-7515;Con Riego;0;Goteo;Franco;102.06;11.64;0.00;0.00;0.00;MAY;NO APLICADO;Mecanizado
20162017;3;Vasconia;60040;SARZAL-04;RB86-7515;Con Riego;0;Goteo;Franco Arcilloso;134.64;11.21;0.00;0.00;0.00;JUN;NO APLICADO;Manual
20172018;2;El Zapote;55024;Z-24;RB86-7515;Con Riego;0;Mini Aspersion;Franco Arenoso;186.22;10.88;102.50;0.00;0.00;DIC;NO APLICADO;Mecanizado
20172018;2;El Zapote;55024;Z-24;RB86-7515;Con Riego;0;Mini Aspersion;Franco Arenoso;157.37;10.82;102.50;0.00;0.00;DIC;NO APLICADO;Mecanizado
20172018;2;El Zapote;55016;Z-16;RB86-7515;Con Riego;0;Mini Aspersion;Franco Arcilloso;115.36;10.45;114.97;0.00;0.00;ENE;NO APLICADO;Mecanizado
20172018;3;Tono Lira;81002;CALA-02;RB86-7515;Con Riego;0;Goteo;Franco Arenoso;125.50;10.65;109.37;0.00;0.00;FEB;NO APLICADO;Manual 
20172018;4;San Jose Nagarote;58008;SJ-08;RB86-7515;Con Riego;1;Goteo;Franco;94.61;10.49;109.03;0.00;0.00;MAR;NO APLICADO;Mecanizado 
20172018;3;Vasconia;60040;SARZAL-04;RB86-7515;Con Riego;1;Goteo;Franco Arcilloso;89.52;10.62;125.36;0.00;0.00;ABR;NO APLICADO;Manual
20182019;2;El Zapote;55024;Z-24;RB86-7515;Con Riego;1;Mini Aspersion;Franco Arenoso;106.56;11.74;136.93;54.00;30.00;DIC;APLICADO;Mecanizado
20182019;2;El Zapote;55016;Z-16;RB86-7515;Con Riego;1;Mini Aspersion;Franco Arcilloso;94.29;11.14;126.17;45.00;40.00;DIC;APLICADO;Mecanizado
20182019;PBA;Sucuya;16450;1645-0;RB86-7515;Con Riego;0;Gravedad;Franco Arcilloso;109.25;10.16;132.03;0.00;29.00;DIC;NO APLICADO;Mecanizado
20182019;2;El Zapote;55006;Z-09;RB86-7515;Con Riego;2;Goteo;Franco Arcilloso;130.37;10.59;131.51;51.00;26.00;ENE;APLICADO;Mecanizado
20182019;3;Tono Lira;81002;CALA-02;RB86-7515;Con Riego;1;Goteo;Franco Arenoso;132.90;10.72;145.19;50.00;31.00;ENE;APLICADO;Manual
20182019;4;San Jose Nagarote;58008;SJ-08;RB86-7515;Con Riego;2;Goteo;Franco;131.90;11.28;136.10;45.00;18.00;FEB;APLICADO;Mecanizado
20182019;1;Loma Alegre;51064;M-07;RB86-7515;Con Riego;0;Goteo;Arcilloso;96.37;11.05;130.43;47.00;28.00;FEB;APLICADO;Mecanizado
20182019;3;Buen Suceso;64001;M-04;RB86-7515;Con Riego;1;Goteo;Arcilloso;98.59;12.43;151.07;0.00;19.00;MAR;NO APLICADO;Manual
20182019;3;Vasconia;60040;SARZAL-04;RB86-7515;Con Riego;2;Goteo;Franco Arcilloso;85.59;11.24;134.45;0.00;25.00;ABR;NO APLICADO;Mecanizado 
20192020;3;Tono Lira;81002;CALA-02;RB86-7515;Con Riego;2;Goteo;Franco Arenoso;147.86;11.01;139.34;38.00;49.00;DIC;APLICADO;Manual
20192020;PBA;Sucuya;16450;1645-0;RB86-7515;Con Riego;2;Gravedad;Franco Arcilloso;96.03;4.90;125.74;0.00;-4.00;ENE;NO APLICADO;Manual
20192020;2;El Zapote;55006;Z-09;RB86-7515;Con Riego;3;Goteo;Franco Arcilloso;143.30;12.00;116.34;46.00;23.00;ENE;APLICADO;Mecanizado
20192020;2;El Zapote;55024;Z-24;RB86-7515;Sin Riego;2;Secano;Franco Arenoso;123.42;14.00;134.40;46.00;79.00;FEB;APLICADO;Mecanizado
20192020;1;Montelimar-02;50158;V-06;RB86-7515;Con Riego;0;Goteo;Franco Arenoso;189.04;13.02;135.30;66.00;37.00;FEB;APLICADO;Manual
20192020;3;Buen Suceso;64001;M-04;RB86-7515;Con Riego;2;Goteo;Arcilloso;83.08;11.83;130.90;47.00;34.00;FEB;APLICADO;Mecanizado
20192020;3;Vasconia;60040;SARZAL-04;RB86-7515;Con Riego;3;Goteo;Franco Arcilloso;68.26;11.21;133.83;67.00;53.00;MAR;APLICADO;Mecanizado
20192020;1;Loma Alegre;51064;M-07;RB86-7515;Con Riego;1;Goteo;Arcilloso;82.46;12.69;124.85;0.00;33.00;MAR;NO APLICADO;Mecanizado
20192020;2;El Zapote;55035;Z-34;RB86-7515;Con Riego;0;Mini Aspersion;Arcilloso;67.56;4.93;132.65;0.00;21.00;MAR;NO APLICADO;Mecanizado
20202021;2;El Zapote;55053;MANGO-12;RB86-7515;Con Riego;2;Goteo;Franco Arcilloso;101.56;13.05;146.37;48.00;14.00;ABR;APLICADO;Mecanizado
20202021;2;El Zapote;55059;NOV-5;RB86-7515;Sin Riego;0;Secano;Franco Arenoso;70.10;10.75;153.53;56.00;138.00;ABR;APLICADO;Mecanizado
20202021;2;Montelimar;53093;E-09;RB86-7515;Con Riego;0;Goteo;Arcilloso;118.25;9.80;98.51;0.00;23.00;DIC;NO APLICADO;Mecanizado
20202021;PBA;Sucuya;16510;1651-0;RB86-7515;Con Riego;0;Gravedad;Franco;117.55;10.72;125.56;60.00;29.00;DIC;APLICADO;Mecanizado
20202021;PBA;Sucuya;16560;1656-0;RB86-7515;Con Riego;0;Gravedad;Franco Arcilloso;104.26;10.88;126.22;61.00;30.00;DIC;APLICADO;Mecanizado
20202021;1;Montelimar-02;50160;V-08;RB86-7515;Con Riego;0;Gravedad;Arcilloso;103.57;11.90;135.37;75.00;34.00;ENE;APLICADO;Mecanizado
20202021;2;Montelimar;53147;R-05;RB86-7515;Con Riego;0;Gravedad;Franco Arcillo Arenoso;148.00;11.97;123.57;69.00;35.00;ENE;APLICADO;Manual
20202021;3;Tono Lira;81002;CALA-02;RB86-7515;Con Riego;3;Goteo;Franco Arenoso;144.58;12.69;123.92;54.00;39.00;ENE;APLICADO;Mecanizado
20202021;3;Waterloo;61033;PLAT-08;RB86-7515;Con Riego;0;Goteo;Franco Arcillo Arenoso;105.47;11.44;130.62;55.00;40.00;ENE;APLICADO;Mecanizado
20202021;3;Waterloo;61001;PRESA-15;RB86-7515;Con Riego;0;Goteo;Franco Arcillo Arenoso;107.96;11.60;139.50;58.00;43.00;ENE;APLICADO;Mecanizado
20202021;3;Waterloo;61021;PRESA-19;RB86-7515;Con Riego;0;Goteo;Franco Arcillo Arenoso;111.43;11.64;137.10;58.00;43.00;ENE;APLICADO;Mecanizado
20202021;PBA;Sucuya;16450;1645-0;RB86-7515;Con Riego;3;Gravedad;Franco Arcilloso;108.13;12.20;114.74;76.00;44.00;ENE;APLICADO;Mecanizado
20202021;PBA;Sucuya;16460;1646-0;RB86-7515;Con Riego;1;Gravedad;Franco Arcilloso;84.48;11.31;111.45;0.00;44.00;ENE;NO APLICADO;Mecanizado
20202021;2;El Zapote;55024;Z-24;RB86-7515;Sin Riego;3;Secano;Franco Arenoso;72.21;11.41;126.23;63.00;49.00;ENE;APLICADO;Mecanizado
