FECHAIMAGEN,AÑO,COD LOTE02,CAMPO,FINCA,ZONA,VARIEDAD,SOCA REAL,FECHAC CS REAL,RIEGO,HANAX,NDVINUBES,BIOMASANUBES,CLOROFILA,EDADIMAGEN
23/5/2023,2023,16010,1601-0,SUCUYA,PBA,CP72-2086,5,25/3/2023,Gravedad,3.0232,0.3128,0.3439,25.6725,1.94
23/5/2023,2023,16010,1601-0,SUCUYA,PBA,CP72-2086,5,25/3/2023,Gravedad,1.7657,0.3061,0.29,,1.94
23/5/2023,2023,16010,1601-0,SUCUYA,PBA,CP72-2086,5,25/3/2023,Gravedad,1.6142,0.351,0.41,,1.94
23/5/2023,2023,16010,1601-0,SUCUYA,PBA,CP72-2086,5,25/3/2023,Gravedad,1.3867,0.3561,0.43,,1.94
23/5/2023,2023,16010,1601-0,SUCUYA,PBA,CP72-2086,5,25/3/2023,Gravedad,1.7714,0.4087,0.6,,1.94
23/5/2023,2023,16020,1602-0,SUCUYA,PBA,Otras,10,26/3/2023,Gravedad,3.4389,0.3448,0.41,,1.91
23/5/2023,2023,16020,1602-0,SUCUYA,PBA,Otras,10,26/3/2023,Gravedad,1.8762,0.3417,0.52,,1.91
23/5/2023,2023,16030,1603-0,SUCUYA,PBA,CP73-1547,2,20/1/2023,Gravedad,1.0024,0.7398,2.7815,149.8385,4.04
23/5/2023,2023,16030,1603-0,SUCUYA,PBA,CP73-1547,2,20/1/2023,Gravedad,1.425,0.7166,2.22,,4.04
23/5/2023,2023,16030,1603-0,SUCUYA,PBA,CP73-1547,2,20/1/2023,Gravedad,0.6985,0.7688,2.7995,160.2526,4.04
23/5/2023,2023,16030,1603-0,SUCUYA,PBA,CP73-1547,2,20/1/2023,Gravedad,2.054,0.7155,2.2944,111.638,4.04
23/5/2023,2023,16040,1604-0,SUCUYA,PBA,CP73-1547,2,10/4/2023,Gravedad,0.811,0.7076,1.9,,1.41
23/5/2023,2023,16040,1604-0,SUCUYA,PBA,CP73-1547,2,10/4/2023,Gravedad,0.6554,0.5548,1.38,,1.41
23/5/2023,2023,16040,1604-0,SUCUYA,PBA,CP73-1547,2,10/4/2023,Gravedad,1.8669,0.5393,2.03,,1.41
23/5/2023,2023,16040,1604-0,SUCUYA,PBA,CP73-1547,2,10/4/2023,Gravedad,1.292,0.6514,2,,1.41
23/5/2023,2023,16040,1604-0,SUCUYA,PBA,CP73-1547,2,10/4/2023,Gravedad,1.4725,0.7268,1.73,,1.41
23/5/2023,2023,16040,1604-0,SUCUYA,PBA,CP73-1547,2,10/4/2023,Gravedad,0.7361,0.5952,1.3965,70.985,1.41
23/5/2023,2023,16040,1604-0,SUCUYA,PBA,CP73-1547,2,10/4/2023,Gravedad,0.9146,0.5078,0.86,,1.41
23/5/2023,2023,16040,1604-0,SUCUYA,PBA,CP73-1547,2,10/4/2023,Gravedad,0.7628,0.6775,1.9685,97.7793,1.41
23/5/2023,2023,16040,1604-0,SUCUYA,PBA,CP73-1547,2,10/4/2023,Gravedad,1.5507,0.6284,1.84,,1.41
23/5/2023,2023,16050,1605-0,SUCUYA,PBA,CP72-2086,7,26/3/2023,Gravedad,3.6288,0.3526,0.49,,1.91
23/5/2023,2023,16050,1605-0,SUCUYA,PBA,CP72-2086,7,26/3/2023,Gravedad,2.2764,0.3398,0.43,,1.91
23/5/2023,2023,16060,1606-0,SUCUYA,PBA,NA56-42,11,26/3/2023,Gravedad,5.441,0.2322,0.2682,34.1565,1.91
23/5/2023,2023,16060,1606-0,SUCUYA,PBA,NA56-42,11,26/3/2023,Gravedad,0.3903,0.3635,0.47,,1.91
23/5/2023,2023,16070,1607-0,SUCUYA,PBA,CP72-2086,7,27/3/2023,Gravedad,0.9292,0.3372,0.4146,35.0973,1.87
23/5/2023,2023,16070,1607-0,SUCUYA,PBA,CP72-2086,7,27/3/2023,Gravedad,1.5087,0.3585,0.4753,27.9317,1.87
23/5/2023,2023,16070,1607-0,SUCUYA,PBA,CP72-2086,7,27/3/2023,Gravedad,1.1487,0.3799,0.5615,30.1669,1.87
