idnax,FECHA,ID,LOTE,FINCA,ZONA ,unidad_04,unidad_05,VARIEDAD,fs,TIPO RIEGO,area,activo,soca,Contenido de agua (mg/cm2),Contenido de agua 2 (con nubes),Nivel de agua 贸ptimo,10 Anomal铆as,balance hidrico,Clorofila (mg/cm2),Nivel de clorofila 贸ptimo,15 Cosecha,33 Evapotranspiraci贸n,Inundaci贸n,Biomasa (m2 ca帽a/m2),Biomasa 2 (con nubes),Nivel de biomasa 贸ptimo,13 Maduraci贸n,14 Maduraci贸n 2 (con nubes),msavi2,NDVI,08 NDVI 2 (con nubes),09 Nivel de NDVI 贸ptimo,ndwi,11 Necesidades de Nitr贸geno,12 Producci贸n,21 Imagen real,Evoluci贸n h铆drica,COD2,COD FIN,RIEGO,EDAD2122,EDAD2223
235846,23/4/2021,280011,RG-0101,RONALD_GUIDO,ZONA_2,,,OTRAS,5/3/2022,2,0.5029,true,6,0.0256,0.0256,5,0,,30.51,3.08,0,,,0.63,0.63,2.77,,,-0.28,0.38,0.39,3.9,0.46,,0.48,,0,28001,28001,Goteo, 1.81 , 1.28 
235855,23/4/2021,2800110,RG-0101,RONALD_GUIDO,ZONA_2,,,OTRAS,5/3/2022,2,1.8617,true,6,0.023,0.023,4.88,0,,32.18,3.27,0,,,0.68,0.68,3.13,,,-0.27,0.42,0.42,4.01,0.48,,0.41,,0,28001,28001,Goteo, 1.81 , 1.28 
235856,23/4/2021,2800111,RG-0101,RONALD_GUIDO,ZONA_2,,,OTRAS,5/3/2022,2,1.6022,true,6,0.0248,0.0248,4.99,0,,31.13,3.17,0,,,0.69,0.69,3.3,,,-0.28,0.41,0.42,3.97,0.47,,0.39,,0,28001,28001,Goteo, 1.81 , 1.28 
235857,23/4/2021,2800112,RG-0101,RONALD_GUIDO,ZONA_2,,,OTRAS,5/3/2022,2,1.2641,true,6,0.0221,0.0221,4.97,0,,30.24,3.06,0,,,0.62,0.62,2.79,,,-0.28,0.4,0.4,3.97,0.47,,0.38,,0,28001,28001,Goteo, 1.81 , 1.28 
235858,23/4/2021,2800113,RG-0101,RONALD_GUIDO,ZONA_2,,,OTRAS,5/3/2022,2,0.3686,true,6,0.0253,0.0253,5,0,,36.82,3.84,0,,,0.81,0.81,3.91,,,-0.24,0.46,0.46,4.22,0.51,,0.47,,-1,28001,28001,Goteo, 1.81 , 1.28 
235859,23/4/2021,2800114,RG-0101,RONALD_GUIDO,ZONA_2,,,OTRAS,5/3/2022,2,0.563,true,6,0.0269,0.0269,4.96,0,,36.62,3.88,0,,,0.82,0.82,3.98,,,-0.25,0.46,0.46,4.21,0.5,,0.45,,0,28001,28001,Goteo, 1.81 , 1.28 
235847,23/4/2021,280012,RG-0101,RONALD_GUIDO,ZONA_2,,,OTRAS,5/3/2022,2,0.9808,true,6,0.0268,0.0268,5,0,,32.57,3.22,0,,,0.68,0.68,3.08,,,-0.27,0.4,0.4,3.96,0.47,,0.45,,0,28001,28001,Goteo, 1.81 , 1.28 
235848,23/4/2021,280013,RG-0101,RONALD_GUIDO,ZONA_2,,,OTRAS,5/3/2022,2,0.3225,true,6,0.0261,0.0261,4.92,0,,35.63,3.67,0,,,0.8,0.8,3.79,,,-0.25,0.45,0.46,4.21,0.5,,0.47,,0,28001,28001,Goteo, 1.81 , 1.28 
235849,23/4/2021,280014,RG-0101,RONALD_GUIDO,ZONA_2,,,OTRAS,5/3/2022,2,1.317,true,6,0.0299,0.0299,5,0,,35.33,3.61,0,,,0.8,0.8,3.71,,,-0.26,0.42,0.43,3.97,0.48,,0.5,,0,28001,28001,Goteo, 1.81 , 1.28 
235850,23/4/2021,280015,RG-0101,RONALD_GUIDO,ZONA_2,,,OTRAS,5/3/2022,2,0.1946,true,6,0.0299,0.0299,5,0,,40.07,4.13,0,,,0.94,0.94,4.31,,,-0.23,0.47,0.48,4.25,0.51,,0.51,,0,28001,28001,Goteo, 1.81 , 1.28 
235851,23/4/2021,280016,RG-0101,RONALD_GUIDO,ZONA_2,,,OTRAS,5/3/2022,2,0.3046,true,6,0.0241,0.0241,5,0,,30.5,2.92,0,,,0.6,0.6,2.56,,,-0.29,0.38,0.38,3.68,0.46,,0.4,,0,28001,28001,Goteo, 1.81 , 1.28 
235852,23/4/2021,280017,RG-0101,RONALD_GUIDO,ZONA_2,,,OTRAS,5/3/2022,2,0.4052,true,6,0.0304,0.0304,5,0,,36.02,3.9,0,,,0.87,0.87,4.1,,,-0.25,0.45,0.46,4.15,0.49,,0.49,,0,28001,28001,Goteo, 1.81 , 1.28 
235853,23/4/2021,280018,RG-0101,RONALD_GUIDO,ZONA_2,,,OTRAS,5/3/2022,2,1.5423,true,6,0.021,0.021,4.59,0,,27.41,2.23,0,,,0.55,0.55,1.92,,,-0.31,0.37,0.37,3.66,0.45,,0.33,,0,28001,28001,Goteo, 1.81 , 1.28 
235854,23/4/2021,280019,RG-0101,RONALD_GUIDO,ZONA_2,,,OTRAS,5/3/2022,2,0.9003,true,6,0.0244,0.0244,5,0,,29.28,2.71,0,,,0.61,0.61,2.51,,,-0.29,0.38,0.38,3.8,0.46,,0.39,,0,28001,28001,Goteo, 1.81 , 1.28 
235860,23/4/2021,280111,RG-0105A,RONALD_GUIDO,ZONA_2,,,CP72-2086,5/3/2022,2,0.4054,true,7,0.0271,0.0271,4.3,0,,39.62,1.35,0,,,0.88,0.88,2.08,,,-0.24,0.47,0.48,3.84,0.5,,0.3,,0,28011,28011,Goteo, 1.91 , 1.28 
235861,23/4/2021,280112,RG-0105A,RONALD_GUIDO,ZONA_2,,,CP72-2086,5/3/2022,2,0.4181,true,7,0.027,0.027,4.29,0,,35.84,1.11,0,,,0.8,0.8,1.66,,,-0.25,0.45,0.45,3.45,0.5,,0.26,,0,28011,28011,Goteo, 1.91 , 1.28 
235862,23/4/2021,280113,RG-0105A,RONALD_GUIDO,ZONA_2,,,CP72-2086,5/3/2022,2,1.205,true,7,0.0268,0.0268,4.28,0,,34.63,1.08,0,,,0.8,0.8,1.49,,,-0.26,0.45,0.45,3.71,0.49,,0.25,,0,28011,28011,Goteo, 1.91 , 1.28 
235863,23/4/2021,280114,RG-0105A,RONALD_GUIDO,ZONA_2,,,CP72-2086,5/3/2022,2,0.4524,true,7,0.0295,0.0295,4.15,0,,38.73,1.33,0,,,0.95,0.95,2.48,,,-0.25,0.5,0.5,3.93,0.51,,0.27,,0,28011,28011,Goteo, 1.91 , 1.28 
235864,23/4/2021,280115,RG-0105A,RONALD_GUIDO,ZONA_2,,,CP72-2086,5/3/2022,2,1.3951,true,7,0.0271,0.0271,4.41,0,,39.19,1.09,0,,,0.89,0.89,2.21,,,-0.23,0.48,0.48,3.88,0.51,,0.26,,0,28011,28011,Goteo, 1.91 , 1.28 
235865,23/4/2021,280116,RG-0105A,RONALD_GUIDO,ZONA_2,,,CP72-2086,5/3/2022,2,1.7562,true,7,0.0265,0.0265,4.33,0,,34.68,1.02,0,,,0.79,0.79,1.46,,,-0.26,0.44,0.44,3.54,0.49,,0.24,,0,28011,28011,Goteo, 1.91 , 1.28 
235431,23/4/2021,30011,ET-01,EL_TAMARINDO,ZONA_2,,,NA56-42,18/2/2022,2,0.0612,true,3,0.0085,0.0085,3,0,,19.86,2.5,0,,,0.39,0.39,5,0.11,0.1,-0.38,0.27,0.27,4.5,0.39,,0.69,,-3,3001,3001,Goteo, 0.79 , 1.78 
235440,23/4/2021,300110,ET-01,EL_TAMARINDO,ZONA_2,,,NA56-42,18/2/2022,2,0.4434,true,3,0.0001,0.0001,1,0,,12.32,1,0,,,0.19,0.19,5,0,0.02,-0.42,0.2,0.2,4.11,0.34,,0.72,,-3,3001,3001,Goteo, 0.79 , 1.78 
235441,23/4/2021,300111,ET-01,EL_TAMARINDO,ZONA_2,,,NA56-42,18/2/2022,2,0.316,true,3,0.0001,0.0001,1,0,,10.83,1,0,,,0.19,0.19,5,0,0.02,-0.42,0.19,0.2,4,0.33,,0.7,,-3,3001,3001,Goteo, 0.79 , 1.78 
235442,23/4/2021,300112,ET-01,EL_TAMARINDO,ZONA_2,,,NA56-42,18/2/2022,2,0.1897,true,3,0.0006,0.0006,1,0,,13.77,1,0,,,0.2,0.2,5,0.01,0.07,-0.41,0.2,0.21,4.23,0.37,,0.66,,-1,3001,3001,Goteo, 0.79 , 1.78 
235443,23/4/2021,300113,ET-01,EL_TAMARINDO,ZONA_2,,,NA56-42,18/2/2022,2,0.38,true,3,0,0,1,0,,12.4,1,0,,,0.17,0.17,5,0,0.04,-0.43,0.16,0.17,3.87,0.31,,0.61,,-3,3001,3001,Goteo, 0.79 , 1.78 
235444,23/4/2021,300114,ET-01,EL_TAMARINDO,ZONA_2,,,NA56-42,18/2/2022,2,0.6566,true,3,0.0013,0.0013,1.02,0,,9.99,1,0,,,0.21,0.21,5,0.02,0.01,-0.42,0.18,0.19,4,0.33,,0.74,,-3,3001,3001,Goteo, 0.79 , 1.78 
