ZONA;CF;FINCA;COD CAM;CAMPO;HA;VARIEDAD;DISTSUR;TIPO DE SUELO;RIEGO;CICLO;%DESP;DIASRESI;MM(AB-MY);HRRIEGO;KgN/Ha;TM/HA;TM/HAMES;EDAD
1;91;Barranco Bayo;91001;BB-01;20.46; CP89-2143 ;2.2; Franco Arcilloso ; Goteo ;1920;0.37;29;0;233.5;143.1443926;112.3937385;9.366144879;12
1;91;Barranco Bayo;91006;BB-06;37.87; CP72-2086 ;2.2; Arcilloso ; Goteo ;1920;0.3857;84;0;243.0714286;143.0393173;104.6876864;8.723973867;12
1;91;Barranco Bayo;91019;BB-19;7.66; RB86-7515 ;2.2; Arcilloso ; Goteo ;1920;0.385166667;72;0;88;143.6612319;102.9255606;8.577130048;12
1;96;Corrales Negro;96001;CN-01;17.41; CP89-2143 ;1.9; Franco Arcilloso ; Goteo ;1920;0.290428571;54;0;243.0833333;163.789328;71.34445892;6.485859902;11
1;96;Corrales Negro;96008;CN-08;31.41; CP72-2086 ;1.9; Franco Arcilloso ; Goteo ;1920;0.51075;75;0;243.2539683;159.9258199;83.59232102;6.966026752;12
1;96;Corrales Negro;96011;CN-11;8.72; RB86-7515 ;2.2; Franco Arcilloso ; Goteo ;1920;;31;0;234.25;157.3843578;54.24596671;4.520497225;12
1;71;El Riito;71001;R-01;15.29; RB86-7515 ;1.65; Franco Arcillo Arenoso ; Goteo ;1920;;0;0;0;0;0;0;0
1;71;El Riito;71002;R-01A;9; RB86-7515 ;1.65; Franco Arcillo Arenoso ; Goteo ;1920;;0;0;0;0;0;0;0
1;71;El Riito;71007;R-07;4.31; CP72-2086 ;1.65; Franco Arcillo Arenoso ; Goteo ;1920;;0;0;0;0;0;0;0
1;71;El Riito;71011;R-11;9.02; CP72-2086 ;1.65; Franco Arcillo Arenoso ; Goteo ;1920;;0;0;0;0;0;0;0
1;98;El Riito 02;98001;R-01;33.75; RB86-7515 ;1.65; Franco Arcillo Arenoso ; Goteo ;1920;;0;0;0;0;0;0;0
1;63;Francesa;63001;FRANCESA-01;27.02; RB86-7515 ;2.4; Franco Limoso ; Goteo ;1920;0.375333333;42;0;132.6111111;142.5933024;103.2420102;7.374429297;14
1;63;Francesa;63007;FRANCESA-07;35.11; RB86-7515 ;2.4; Arcilloso ; Goteo ;1920;0.2131;21;0;129;143.0644069;103.8923359;9.444757811;11
1;63;Francesa;63023;FRANCESA-17;5.44; RB86-7515 ;1.65; Arcilloso ; Goteo ;1920;;0;0;0;0;0;0;0
1;97;La Banqueta;97001;LB-01;21.26; CP89-2143 ;1.9; Franco Arcilloso ; Goteo ;1920;0.2885;27;0;216;144.6604178;129.5434253;9.253101809;14
1;97;La Banqueta;97008;LB-08;2.6; CP89-2143 ;1.9; Franco Arcilloso ; Goteo ;1920;0.299;30;0;72.5;105.9931292;220.9822659;18.41518883;12
1;69;La Ceiba;69001;A-01;6.9; RB86-7515 ;1.65; Franco Limoso ; Goteo ;1920;;0;0;0;0;0;0;0
1;69;La Ceiba;69004;C-01;22.87; RB86-7515 ;1.65; Franco Arenoso ; Goteo ;1920;;0;0;0;0;0;0;0
1;69;La Ceiba;69005;C-01A;8.42; RB86-7515 ;1.65; Franco Arenoso ; Goteo ;1920;;0;0;0;0;0;0;0
1;69;La Ceiba;69018;CH-02;2.91; CP72-2086 ;1.65; Arcilloso ; Goteo ;1920;;0;0;0;0;0;0;0
1;51;Loma Alegre;51002;A-06;13.04; CP72-2086 ;1.9; Franco Arcilloso ; Goteo ;1920;0.51;80;0;145;152.4066202;90.41237189;7.534364324;12
1;51;Loma Alegre;51003;A-07;13.54; RB86-7515 ;2.2; Franco Arcilloso ; Goteo ;1920;;78;0;45;133.4680086;83.60626672;6.967188893;12
1;51;Loma Alegre;51004;A-08;9.56; RB86-7515 ;2.2; Franco Arcilloso ; Goteo ;1920;;32;0;0;130.2430357;89.874491;8.170408273;11
1;51;Loma Alegre;51087;A-08A;2.78; CP72-2086 ;2.2; Franco Arcilloso ; Goteo ;1920;0.495;16;0;111;146.5895749;156.6447217;11.18890869;14
1;51;Loma Alegre;51006;A-10;35.99; CP72-2086 ;1.9; Franco Arcilloso ; Goteo ;1920;0.433333333;56;0;107;145.6412647;103.5870846;8.632257047;12
1;51;Loma Alegre;51008;A-12;4.77; CP88-1165 ;2.2; Franco Arcillo Arenoso ; Goteo ;1920;;18;0;131;142.5930741;66.77733953;5.564778294;12
1;51;Loma Alegre;51098;A-12A;5.04; CP73-1547 ;2.2; Franco Arcillo Arenoso ; Goteo ;1920;0.556;28;0;133;142.587803;53.55978275;4.463315229;12
1;51;Loma Alegre;51009;A-13;8.11; RB86-7515 ;2.2; Franco Arcillo Arenoso ; Goteo ;1920;;0;0;161;142.6;95.63215085;9.563215085;10
1;51;Loma Alegre;51010;A-14;2.21; CG00-102 ;2.2; Franco Arcilloso ; Goteo ;1920;0.09;33;0;131;144.469689;0;0;0
1;51;Loma Alegre;51080;A-15;9.88; CP89-2143 ;2.2; Franco Arcillo Arenoso ; Goteo ;1920;0.15;26;0;128;144.4146192;136.778325;11.39819375;12
1;51;Loma Alegre;51012;B-02;25.26; CP88-1165 ;2.2; Franco Arcilloso ; Goteo ;1920;0.32975;30;0;139;143.4067135;104.4943414;8.707861787;12
1;51;Loma Alegre;51016;B-06;11.16; CP72-2086 ;2.2; Franco Arcilloso ; Goteo ;1920;0.3126;29;0;169;80.23383889;99.32590349;7.094707392;14
1;51;Loma Alegre;51019;B-09;7.49; CP88-1165 ;2.2; Franco Arcilloso ; Goteo ;1920;0.321;27;0;53.5;143.0111414;136.4452928;11.37044106;12
1;51;Loma Alegre;51023;B-13;6.98; CP72-2086 ;2.2; Franco Arcilloso ; Goteo ;1920;0.251;28;0;121;87.34546562;95.97733533;7.382871948;13
1;51;Loma Alegre;51029;B-19;22.46; CP72-2086 ;2.2; Franco Arcillo Arenoso ; Goteo ;1920;0.281666667;69;0;186.25;143.9412549;101.6167069;7.816669763;13
1;51;Loma Alegre;51095;B-19A;10; RB86-7515 ;2.2; Franco Arcillo Arenoso ; Goteo ;1920;0.23;60;0;74;149.1452982;81.60494779;6.800412316;12
1;51;Loma Alegre;51033;B-23;6.2; CP88-1165 ;2.4; Franco Arenoso ; Goteo ;1920;0.75;29;0;59;162.9844481;99.95497725;7.688844404;13
1;51;Loma Alegre;51034;B-24;8; RB86-7515 ;2.4; Franco Arenoso ; Goteo ;1920;;37;0;116;0;0;0;0
1;51;Loma Alegre;51035;F-01;18.85; CP72-2086 ;1.8; Franco Arcillo Arenoso ; Goteo ;1920;0.725;48;0;93.33333333;142.1802775;105.6511011;8.804258425;12
1;51;Loma Alegre;51038;F-04;14.3; RB86-7515 ;1.8; Franco Arcilloso ; Goteo ;1920;;56;0;316.5;0;0;0;0
1;51;Loma Alegre;51088;F-04A;11.42; CP72-2086 ;1.9; Franco Arcilloso ; Secano ;1920;;0;0;288.5;135.8296657;89.40002464;8.127274967;11
