CICLO,ZONA,CF,FINCA,COD CAM,CAMPO,HA,VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,Dias Resiembra,KgN Ha,Edad Corte,Suspension,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
2122,1,91,Barranco Bayo,91001,BB-01, 20.46 , CP89-2143 ,5.00, 2.20 , Franco Arcilloso , Goteo ,46%,38.00,108.73,11.67,38.00,115.97,112.00,103.91
2122,1,91,Barranco Bayo,91006,BB-06, 37.87 , CP72-2086 ,5.00, 2.20 , Arcilloso , Goteo ,42%,42.00,89.38,11.70,38.00,87.09,90.00,81.23
2122,1,91,Barranco Bayo,91019,BB-19, 7.66 , NA56-42 ,5.00, 2.20 , Arcilloso , Goteo ,47%,43.00,87.92,11.64,34.00,91.32,85.00,79.96
2122,1,63,Francesa,63001,FRANCESA-01, 27.02 , CP72-2086 ,8.00, 2.40 , Franco Limoso , Goteo ,38%,22.00,124.84,10.78,40.00,85.57,100.00,79.95
2122,1,63,Francesa,63007,FRANCESA-07, 35.11 , NA56-42 ,4.00, 2.40 , Arcilloso , Goteo ,23%,40.00,124.92,10.91,40.00,81.09,95.00,92.33
2122,1,97,La Banqueta,97001,LB-01, 21.26 , CP89-2143 ,6.00, 1.90 , Franco Arcilloso , Goteo ,29%,24.00,106.38,11.67,45.00,114.89,116.00,91.43
2122,1,97,La Banqueta,97008,LB-08, 2.60 , CP89-2143 ,6.00, 1.90 , Franco Arcilloso , Goteo ,35%,80.00,104.94,12.59,73.00,129.06,160.00,171.27
2122,1,51,Loma Alegre,51002,A-06, 13.04 , CP72-2086 ,5.00, 1.90 , Franco Arcilloso , Goteo ,46%,40.00,117.50,11.44,11.00,109.15,90.00,91.09
2122,1,51,Loma Alegre,51003,A-07, 13.54 , RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,41%,33.00,149.51,11.41,27.00,159.10,110.00,101.73
2122,1,51,Loma Alegre,51004,A-08, 9.56 , RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,39%,34.00,149.40,11.41,29.00,102.41,115.00,101.35
2122,1,51,Loma Alegre,51087,A-08A, 2.78 , CP72-2086 ,4.00, 2.20 , Franco Arcilloso , Goteo ,44%,34.00,117.90,11.37,28.00,75.08,115.00,101.27
2122,1,51,Loma Alegre,51006,A-10, 35.99 , CP72-2086 ,7.00, 1.90 , Franco Arcilloso , Goteo ,48%,35.00,124.47,11.60,15.00,120.71,105.00,84.52
2122,1,51,Loma Alegre,51009,A-13, 8.11 , CP72-2086 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,57%,38.00,82.01,11.14,28.00,73.44,80.00,64.39
2122,1,51,Loma Alegre,51010,A-14, 2.21 , CG00-102 ,4.00, 2.20 , Franco Arcilloso , Goteo ,39%,37.00,103.03,11.14,28.00,77.72,85.00,80.69
2122,1,51,Loma Alegre,51080,A-15, 9.88 , CP89-2143 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,23%,33.00,150.11,11.70,15.00,108.56,120.00,106.10
2122,1,51,Loma Alegre,51012,B-02, 25.26 , CP88-1165 ,4.00, 2.20 , Franco Arcilloso , Goteo ,33%,35.00,135.50,11.41,11.00,133.24,105.00,85.89
2122,1,51,Loma Alegre,51016,B-06, 11.16 , CP72-2086 ,4.00, 2.20 , Franco Arcilloso , Goteo ,39%,39.00,79.44,11.01,22.00,83.56,97.00,97.11
2122,1,51,Loma Alegre,51019,B-09, 7.49 , CP88-1165 ,4.00, 2.20 , Franco Arcilloso , Goteo ,26%,35.00,150.10,11.47,9.00,89.28,115.00,88.62
2122,1,51,Loma Alegre,51023,B-13, 6.98 , CP72-2086 ,5.00, 2.20 , Franco Arcilloso , Goteo ,43%,36.00,86.48,10.62,21.00,81.17,90.00,80.76
2122,1,51,Loma Alegre,51029,B-19, 22.46 , CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,45%,35.00,92.40,10.62,21.00,95.46,100.00,78.75
2122,1,51,Loma Alegre,51033,B-23, 6.20 , CP88-1165 ,8.00, 2.40 , Franco Arenoso , Goteo ,33%,35.00,119.99,11.51,7.00,88.15,108.00,92.09
2122,1,51,Loma Alegre,51034,B-24, 8.00 , RB86-7515 ,2.00, 2.40 , Franco Arenoso , Goteo ,46%,39.00,105.22,10.91,19.00,90.48,110.00,90.31
2122,1,51,Loma Alegre,51035,F-01, 18.85 , CP72-2086 ,7.00, 1.80 , Franco Arcillo Arenoso , Goteo ,54%,35.00,126.90,11.51,7.00,122.02,115.00,101.62
2122,1,51,Loma Alegre,51038,F-04, 14.30 , RB86-7515 ,2.00, 1.80 , Franco Arcilloso , Goteo ,49%,40.00,67.36,10.88,20.00,96.87,90.00,100.49
2122,1,51,Loma Alegre,51088,F-04A, 11.42 , CP72-2086 ,2.00, 1.90 , Franco Arcilloso , Goteo ,28%,32.00,81.68,10.59,22.00,94.86,90.00,96.70
2122,1,51,Loma Alegre,51041,F-07, 20.08 , NA56-42 ,7.00, 1.80 , Arcilloso , Goteo ,33%,49.00,110.22,13.21,37.00,136.86,108.00,93.46
2122,1,51,Loma Alegre,51046,L-01, 27.12 , CG00-102 ,1.00, 2.20 , Franco Arenoso , Goteo ,39%,39.00,82.84,11.37,26.00,78.30,107.00,96.23
2122,1,51,Loma Alegre,51050,L-04, 19.75 , CG04-10295 ,1.00, 2.20 , Franco Arenoso , Goteo ,28%,35.00,82.83,11.21,22.00,100.69,105.00,86.40
2122,1,51,Loma Alegre,51051,L-05, 23.13 , CG00-102 ,1.00, 2.20 , Franco Arenoso , Goteo ,44%,36.00,165.74,11.21,22.00,118.56,105.00,88.97
2122,1,51,Loma Alegre,51069,L-06A, 4.58 , Otras ,2.00, 2.20 , Franco Arcilloso , Goteo ,27%,37.00,228.63,11.34,24.00,91.92,90.00,82.79
2122,1,51,Loma Alegre,51053,L-07, 10.83 , CG00-102 ,2.00, 1.90 , Franco Arcilloso , Goteo ,27%,36.00,103.08,11.14,24.00,111.35,110.00,91.13
2122,1,51,Loma Alegre,51054,L-08, 12.99 , CP00-1101 ,5.00, 2.20 , Franco Arcilloso , Goteo ,33%,41.00,125.86,11.57,16.00,102.30,100.00,90.51
2122,1,51,Loma Alegre,51056,L-10, 19.61 , CP72-2086 ,3.00, 2.20 , Franco Arcilloso , Goteo ,45%,41.00,92.45,11.41,21.00,106.41,107.00,95.04
2122,1,51,Loma Alegre,51058,M-01, 19.17 , NA56-42 ,9.00, 2.40 , Arcilloso , Goteo ,36%,30.00,150.13,12.43,21.00,100.37,125.00,112.36
2122,1,51,Loma Alegre,51061,M-04, 10.35 , CP72-2086 ,3.00, 2.20 , Franco Arcilloso , Goteo ,44%,30.00,80.71,10.88,35.00,83.21,95.00,86.73
2122,1,51,Loma Alegre,51063,M-06, 7.07 , NA56-42 ,3.00, 2.20 , Arcilloso , Goteo ,39%,35.00,97.17,10.95,32.00,73.53,80.00,64.54
2122,1,51,Loma Alegre,51064,M-07, 6.93 , RB86-7515 ,3.00, 2.20 , Arcilloso , Goteo ,50%,33.00,76.02,11.14,40.00,93.51,80.00,77.92
2122,1,51,Loma Alegre,51065,M-08, 13.05 , NA56-42 ,4.00, 2.20 , Arcilloso , Goteo ,23%,29.00,104.54,12.26,22.00,81.80,100.00,98.16
