CODLOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPOMAD,TCHREAL,ccMAD,DIASMAD,EDAD,DIASSUP,MESCORTE,CORE
72005,La Chinampa,CH05,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,190.1673333,10.56963867,49,12.0644313,15,Nov,108.01
57046,El Apante,B25,MANUAL,CP722086,Si,GLIFOSATO ALEMAN,106.5619955,10.88568203,63,13.24786325,0,Ene,157.2
72005,La Chinampa,CH05,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,190.1673333,10.56963867,49,12.0644313,15,Nov,117.68
72005,La Chinampa,CH05,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,190.1673333,10.56963867,49,12.0644313,15,Nov,102.84
72005,La Chinampa,CH05,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,190.1673333,10.56963867,49,12.0644313,15,Nov,112.86
72005,La Chinampa,CH05,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,190.1673333,10.56963867,49,12.0644313,15,Nov,114.77
53109,Montelimar,E25,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,99.91862483,14.91213477,47,11.86719264,1,Nov,111.88
53109,Montelimar,E25,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,99.91862483,14.91213477,47,11.86719264,1,Nov,108.58
72003,La Chinampa,CH03,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,129.2587685,12.06881373,49,11.90006575,15,Nov,109.08
72003,La Chinampa,CH03,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,129.2587685,12.06881373,49,11.90006575,15,Nov,115.59
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,46,11.90006575,15,Nov,93.22
72003,La Chinampa,CH03,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,129.2587685,12.06881373,49,11.90006575,15,Nov,109.47
53109,Montelimar,E25,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,99.91862483,14.91213477,48,11.90006575,2,Nov,100.58
53109,Montelimar,E25,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,99.91862483,14.91213477,48,11.90006575,2,Nov,115.79
72003,La Chinampa,CH03,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,129.2587685,12.06881373,50,11.93293886,16,Nov,111.51
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,46,11.90006575,15,Nov,104.3
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,47,11.93293886,16,Nov,98.4
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,47,11.93293886,16,Nov,97.95
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,47,11.93293886,16,Nov,103.07
