CODLOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPOMAD,TCHREAL,ccMAD,DIASMAD,EDAD,DIASSUP,MESCORTE,CORE
72005,La Chinampa,CH05,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,190.1673333,10.56963867,49.00,12.0644313,15,Nov,108.010
57046,El Apante,B25,MANUAL,CP722086,Si,GLIFOSATO ALEMAN,106.5619955,10.88568203,63.00,13.24786325,0,Ene,157.200
72005,La Chinampa,CH05,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,190.1673333,10.56963867,49.00,12.0644313,15,Nov,117.680
72005,La Chinampa,CH05,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,190.1673333,10.56963867,49.00,12.0644313,15,Nov,102.840
72005,La Chinampa,CH05,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,190.1673333,10.56963867,49.00,12.0644313,15,Nov,112.860
72005,La Chinampa,CH05,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,190.1673333,10.56963867,49.00,12.0644313,15,Nov,114.770
53109,Montelimar,E25,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,99.91862483,14.91213477,47.00,11.86719264,1,Nov,111.880
53109,Montelimar,E25,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,99.91862483,14.91213477,47.00,11.86719264,1,Nov,108.580
72003,La Chinampa,CH03,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,129.2587685,12.06881373,49.00,11.90006575,15,Nov,109.080
72003,La Chinampa,CH03,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,129.2587685,12.06881373,49.00,11.90006575,15,Nov,115.590
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,46.00,11.90006575,15,Nov,93.220
72003,La Chinampa,CH03,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,129.2587685,12.06881373,49.00,11.90006575,15,Nov,109.470
53109,Montelimar,E25,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,99.91862483,14.91213477,48.00,11.90006575,2,Nov,100.580
53109,Montelimar,E25,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,99.91862483,14.91213477,48.00,11.90006575,2,Nov,115.790
72003,La Chinampa,CH03,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,129.2587685,12.06881373,50.00,11.93293886,16,Nov,111.510
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,46.00,11.90006575,15,Nov,104.300
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,47.00,11.93293886,16,Nov,98.400
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,47.00,11.93293886,16,Nov,97.950
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,47.00,11.93293886,16,Nov,103.070
72003,La Chinampa,CH03,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,129.2587685,12.06881373,50.00,11.93293886,16,Nov,95.840
72005,La Chinampa,CH05,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,190.1673333,10.56963867,50.00,12.0973044,16,Nov,111.140
72003,La Chinampa,CH03,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,129.2587685,12.06881373,50.00,11.93293886,16,Nov,119.140
53109,Montelimar,E25,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,99.91862483,14.91213477,48.00,11.90006575,2,Nov,99.490
72003,La Chinampa,CH03,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,129.2587685,12.06881373,50.00,11.93293886,16,Nov,107.910
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,47.00,11.93293886,16,Nov,102.410
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,47.00,11.93293886,16,Nov,109.700
53109,Montelimar,E25,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,99.91862483,14.91213477,48.00,11.90006575,2,Nov,106.030
53109,Montelimar,E25,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,99.91862483,14.91213477,48.00,11.90006575,2,Nov,109.840
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,47.00,11.93293886,16,Nov,101.220
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,47.00,11.93293886,16,Nov,112.220
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,47.00,11.93293886,16,Nov,114.670
72007,La Chinampa,CH07,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,121.5532097,12.83388571,50.00,11.90006575,16,Nov,123.150
53109,Montelimar,E25,MECANIZADA,NA5642,Si,GLIFOSATO ALEMAN,99.91862483,14.91213477,48.00,11.90006575,2,Nov,111.770
51012,Loma Alegre,B02,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,106.7659937,12.45715002,47.00,11.93293886,16,Nov,100.040
