VARIEDAD;CLAS COR;DISTSUR;TIPO DE SUELO;RIEGO;FRACC REAL;KG N REAL;KG P REAL;KG K REAL;KG Zn REAL;Total mm;1re Fase INV mm;2da Fase Inv;Edad 1re Fase Inv;Edad 2da Fase Inv;RANGO EDAD 1re Fase7;RANGO EDAD 2da Fase;RIEGO 02;TALLOS BIOMETRIA
 RB867515 ;2;1.9; Franco Arenoso ; Secano ;1;180.04;391.38;0;0;2325;1116;1209;4.31;8.84;Mayor de 4;Mayor a 5; Sin Riego ;10.3
 RB867515 ;2;1.65; Franco Arcilloso ; Secano ;1;918.09;1995.84;0;0;2325;1116;1209;4.24;8.78;Mayor de 4;Mayor a 5; Sin Riego ;8.4
 RB867515 ;2;1.65; Franco Arenoso ; Secano ;1;685.23;1489.62;0;0;2325;1116;1209;4.17;8.71;Mayor de 4;Mayor a 5; Sin Riego ;7.2
 RB867515 ;2;1.65; Franco Arcillo Arenoso ; Mini Aspersion ;1;1262.99;2745.64;0;0;2323;1107;1216;3.94;8.48;De 3 a 4;Mayor a 5; Con Riego ;8.4
 RB867515 ;2;1.75; Franco Arcilloso ; Mini Aspersion ;1;843.39;1833.45;0;0;2323;1107;1216;3.98;8.51;De 3 a 4;Mayor a 5; Con Riego ;10.4
 RB867515 ;1;1.9; Franco Arcilloso ; Mini Aspersion ;1;834.62;0;0;0;2325;1116;1209;4.44;8.97;Mayor de 4;Mayor a 5; Con Riego ;12.92
 RB867515 ;2;1.65; Franco Arenoso ; Mini Aspersion ;1;1929.86;0;0;0;2323;1107;1216;4.01;8.55;Mayor de 4;Mayor a 5; Con Riego ;10.1
 RB867515 ;1;1.9; Franco Arcilloso ; Secano ;1;824.61;0;0;0;2325;1116;1209;4.11;8.65;Mayor de 4;Mayor a 5; Sin Riego ;10.1
 RB867515 ;1;1.9; Franco Arenoso ; Secano ;1;524.77;0;0;0;2325;1116;1209;4.44;8.97;Mayor de 4;Mayor a 5; Sin Riego ;11.4
 RB867515 ;2;1.65; Franco Arenoso ; Mini Aspersion ;1;1843.06;0;0;0;2323;1107;1216;4.04;8.58;Mayor de 4;Mayor a 5; Con Riego ;10.35
 RB867515 ;2;1.65; Arcilloso ; Secano ;1;289.41;0;0;0;2325;1116;1209;4.17;8.71;Mayor de 4;Mayor a 5; Sin Riego ;7.95
 RB867515 ;0;2.2; Arcilloso ; Goteo ;1;2388.8;1204.8;1405.6;300.8;2043;700;1343;0.76;5.29;Menor de 2;Mayor a 5; Con Riego ;10.8
