VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,Dias Resiembra,KgN Ha,Edad Corte,Suspension,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
 CP89-2143 ,5.00, 2.20 , Franco Arcilloso , Goteo ,46%,38.00,108.73,11.67,38.00,115.97,112.00,103.91
 CP72-2086 ,5.00, 2.20 , Arcilloso , Goteo ,42%,42.00,89.38,11.70,38.00,87.09,90.00,81.23
 NA56-42 ,5.00, 2.20 , Arcilloso , Goteo ,47%,43.00,87.92,11.64,34.00,91.32,85.00,79.96
 CP72-2086 ,8.00, 2.40 , Franco Limoso , Goteo ,38%,22.00,124.84,10.78,40.00,85.57,100.00,79.95
 NA56-42 ,4.00, 2.40 , Arcilloso , Goteo ,23%,40.00,124.92,10.91,40.00,81.09,95.00,92.33
 CP89-2143 ,6.00, 1.90 , Franco Arcilloso , Goteo ,29%,24.00,106.38,11.67,45.00,114.89,116.00,91.43
 CP89-2143 ,6.00, 1.90 , Franco Arcilloso , Goteo ,35%,80.00,104.94,12.59,73.00,129.06,160.00,171.27
 CP72-2086 ,5.00, 1.90 , Franco Arcilloso , Goteo ,46%,40.00,117.50,11.44,11.00,109.15,90.00,91.09
 RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,41%,33.00,149.51,11.41,27.00,159.10,110.00,101.73
 RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,39%,34.00,149.40,11.41,29.00,102.41,115.00,101.35
 CP72-2086 ,4.00, 2.20 , Franco Arcilloso , Goteo ,44%,34.00,117.90,11.37,28.00,75.08,115.00,101.27
 CP72-2086 ,7.00, 1.90 , Franco Arcilloso , Goteo ,48%,35.00,124.47,11.60,15.00,120.71,105.00,84.52
 CP72-2086 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,57%,38.00,82.01,11.14,28.00,73.44,80.00,64.39
 CG00-102 ,4.00, 2.20 , Franco Arcilloso , Goteo ,39%,37.00,103.03,11.14,28.00,77.72,85.00,80.69
 CP89-2143 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,23%,33.00,150.11,11.70,15.00,108.56,120.00,106.10
 CP88-1165 ,4.00, 2.20 , Franco Arcilloso , Goteo ,33%,35.00,135.50,11.41,11.00,133.24,105.00,85.89
 CP72-2086 ,4.00, 2.20 , Franco Arcilloso , Goteo ,39%,39.00,79.44,11.01,22.00,83.56,97.00,97.11
 CP88-1165 ,4.00, 2.20 , Franco Arcilloso , Goteo ,26%,35.00,150.10,11.47,9.00,89.28,115.00,88.62
 CP72-2086 ,5.00, 2.20 , Franco Arcilloso , Goteo ,43%,36.00,86.48,10.62,21.00,81.17,90.00,80.76
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,45%,35.00,92.40,10.62,21.00,95.46,100.00,78.75
 CP88-1165 ,8.00, 2.40 , Franco Arenoso , Goteo ,33%,35.00,119.99,11.51,7.00,88.15,108.00,92.09
 RB86-7515 ,2.00, 2.40 , Franco Arenoso , Goteo ,46%,39.00,105.22,10.91,19.00,90.48,110.00,90.31
