VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,KgN Ha,Edad Corte,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
 CP89-2143 ,5.00, 2.20 , Franco Arcilloso , Goteo ,0.46,108.73,11.67,115.97,112.00,103.91
 CP72-2086 ,5.00, 2.20 , Arcilloso , Goteo ,0.42,89.38,11.70,87.09,90.00,81.23
 NA56-42 ,5.00, 2.20 , Arcilloso , Goteo ,0.47,87.92,11.64,91.32,85.00,79.96
 CP72-2086 ,8.00, 2.40 , Franco Limoso , Goteo ,0.38,124.84,10.78,85.57,100.00,79.95
 NA56-42 ,4.00, 2.40 , Arcilloso , Goteo ,0.23,124.92,10.91,81.09,95.00,92.33
 CP89-2143 ,6.00, 1.90 , Franco Arcilloso , Goteo ,0.29,106.38,11.67,114.89,116.00,91.43
 CP89-2143 ,6.00, 1.90 , Franco Arcilloso , Goteo ,0.35,104.94,12.59,129.06,160.00,171.27
 CP72-2086 ,5.00, 1.90 , Franco Arcilloso , Goteo ,0.46,117.50,11.44,109.15,90.00,91.09
 RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,0.41,149.51,11.41,159.10,110.00,101.73
 RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,0.39,149.40,11.41,102.41,115.00,101.35
 CP72-2086 ,4.00, 2.20 , Franco Arcilloso , Goteo ,0.44,117.90,11.37,75.08,115.00,101.27
 CP72-2086 ,7.00, 1.90 , Franco Arcilloso , Goteo ,0.48,124.47,11.60,120.71,105.00,84.52
 CP72-2086 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.57,82.01,11.14,73.44,80.00,64.39
 CG00-102 ,4.00, 2.20 , Franco Arcilloso , Goteo ,0.39,103.03,11.14,77.72,85.00,80.69
 CP89-2143 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.23,150.11,11.70,108.56,120.00,106.10
 CP88-1165 ,4.00, 2.20 , Franco Arcilloso , Goteo ,0.33,135.50,11.41,133.24,105.00,85.89
 CP72-2086 ,4.00, 2.20 , Franco Arcilloso , Goteo ,0.39,79.44,11.01,83.56,97.00,97.11
 CP88-1165 ,4.00, 2.20 , Franco Arcilloso , Goteo ,0.26,150.10,11.47,89.28,115.00,88.62
 CP72-2086 ,5.00, 2.20 , Franco Arcilloso , Goteo ,0.43,86.48,10.62,81.17,90.00,80.76
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.45,92.40,10.62,95.46,100.00,78.75
 CP88-1165 ,8.00, 2.40 , Franco Arenoso , Goteo ,0.33,119.99,11.51,88.15,108.00,92.09
 RB86-7515 ,2.00, 2.40 , Franco Arenoso , Goteo ,0.46,105.22,10.91,90.48,110.00,90.31
 CP72-2086 ,7.00, 1.80 , Franco Arcillo Arenoso , Goteo ,0.54,126.90,11.51,122.02,115.00,101.62
 RB86-7515 ,2.00, 1.80 , Franco Arcilloso , Goteo ,0.49,67.36,10.88,96.87,90.00,100.49
 CP72-2086 ,2.00, 1.90 , Franco Arcilloso , Goteo ,0.28,81.68,10.59,94.86,90.00,96.70
 NA56-42 ,7.00, 1.80 , Arcilloso , Goteo ,0.33,110.22,13.21,136.86,108.00,93.46
 CG00-102 ,1.00, 2.20 , Franco Arenoso , Goteo ,0.39,82.84,11.37,78.30,107.00,96.23
 CG04-10295 ,1.00, 2.20 , Franco Arenoso , Goteo ,0.28,82.83,11.21,100.69,105.00,86.40
 CG00-102 ,1.00, 2.20 , Franco Arenoso , Goteo ,0.44,165.74,11.21,118.56,105.00,88.97
 Otras ,2.00, 2.20 , Franco Arcilloso , Goteo ,0.27,228.63,11.34,91.92,90.00,82.79
 CG00-102 ,2.00, 1.90 , Franco Arcilloso , Goteo ,0.27,103.08,11.14,111.35,110.00,91.13
 CP00-1101 ,5.00, 2.20 , Franco Arcilloso , Goteo ,0.33,125.86,11.57,102.30,100.00,90.51
 CP72-2086 ,3.00, 2.20 , Franco Arcilloso , Goteo ,0.45,92.45,11.41,106.41,107.00,95.04
 NA56-42 ,9.00, 2.40 , Arcilloso , Goteo ,0.36,150.13,12.43,100.37,125.00,112.36
 CP72-2086 ,3.00, 2.20 , Franco Arcilloso , Goteo ,0.44,80.71,10.88,83.21,95.00,86.73
 NA56-42 ,3.00, 2.20 , Arcilloso , Goteo ,0.39,97.17,10.95,73.53,80.00,64.54
 RB86-7515 ,3.00, 2.20 , Arcilloso , Goteo ,0.50,76.02,11.14,93.51,80.00,77.92
 NA56-42 ,4.00, 2.20 , Arcilloso , Goteo ,0.23,104.54,12.26,81.80,100.00,98.16
 CP72-2086 ,3.00, 2.20 , Arcilloso , Goteo ,0.25,128.56,12.39,93.98,115.00,73.07
 CP88-1165 ,10.00, 2.40 , Arcilloso , Goteo ,0.41,150.10,11.44,118.85,100.00,69.00
 CP88-1165 ,5.00, 2.20 , Franco Arcilloso , Goteo ,0.32,103.04,11.67,92.83,85.00,66.64
 CP72-2086 ,5.00, 2.60 , Arcilloso , Goteo ,0.34,115.67,11.77,102.73,100.00,91.44
 CP89-2143 ,7.00, 1.65 , Arcilloso , Goteo ,0.11,126.26,11.44,176.36,105.00,65.82
 CP72-2086 ,6.00, 1.90 , Arcilloso , Goteo ,0.23,117.96,11.51,100.23,103.00,77.87
 NA56-42 ,6.00, 1.90 , Arcilloso , Goteo ,0.43,83.04,10.75,81.96,85.00,75.31
 RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,0.41,103.43,11.34,108.61,105.00,89.83
 CP89-2143 ,6.00, 1.90 , Franco Arcilloso , Goteo ,0.46,125.46,11.21,237.93,115.00,102.87
 CP72-2086 ,6.00, 1.90 , Franco Arcilloso , Goteo ,0.37,91.86,11.70,136.48,90.00,90.67
 NA56-42 ,3.00, 2.20 , Franco , Goteo ,0.51,112.53,10.68,99.59,120.00,91.51
 NA56-42 ,4.00, 2.20 , Franco Arcilloso , Goteo ,0.32,150.96,11.28,86.79,113.00,74.15
