Date,Total
1/01/2013,0
1/02/2013,0
1/03/2013,0
1/04/2013,0
1/05/2013,0
1/06/2013,0
1/07/2013,0
1/08/2013,0
1/09/2013,0
1/10/2013,0
1/11/2013,0
1/12/2013,0
1/13/2013,0
1/14/2013,0
1/15/2013,0
1/16/2013,0
1/17/2013,0
1/18/2013,0
1/19/2013,0
1/20/2013,0
1/21/2013,0
1/22/2013,0
1/23/2013,0
1/24/2013,0
1/25/2013,0
1/26/2013,0
1/27/2013,0
1/28/2013,0
1/29/2013,0
1/30/2013,0
1/31/2013,0
2/01/2013,0
2/02/2013,0
2/03/2013,0
2/04/2013,0
2/05/2013,0
2/06/2013,0
2/07/2013,0
2/08/2013,0
2/09/2013,0
2/10/2013,0
2/11/2013,0
2/12/2013,0
2/13/2013,0
2/14/2013,0
2/15/2013,0
2/16/2013,0
2/17/2013,0
2/18/2013,0
2/19/2013,0
2/20/2013,0
2/21/2013,0
2/22/2013,0
2/23/2013,0
2/24/2013,0
2/25/2013,0
2/26/2013,0
2/27/2013,0
2/28/2013,0
3/01/2013,0
3/02/2013,0
3/03/2013,0
3/04/2013,0
3/05/2013,0
3/06/2013,0
3/07/2013,0
3/08/2013,0
3/09/2013,0
3/10/2013,0
3/11/2013,0
3/12/2013,0
3/13/2013,0
3/14/2013,0
3/15/2013,0
3/16/2013,0
3/17/2013,0
3/18/2013,0
3/19/2013,0
3/20/2013,0
3/21/2013,0
3/22/2013,0
3/23/2013,0
3/24/2013,0
3/25/2013,0
3/26/2013,0
3/27/2013,0
3/28/2013,0
3/29/2013,0
3/30/2013,0
3/31/2013,0
4/01/2013,0
4/02/2013,0
4/03/2013,0
4/04/2013,0
4/05/2013,0
4/06/2013,0
4/07/2013,0
4/08/2013,0
4/09/2013,0
4/10/2013,0
4/11/2013,0
4/12/2013,0
4/13/2013,0
4/14/2013,0
4/15/2013,0
4/16/2013,0
4/17/2013,0
4/18/2013,0
4/19/2013,0
4/20/2013,0
4/21/2013,0
4/22/2013,0
4/23/2013,0
4/24/2013,0
4/25/2013,0
4/26/2013,0
4/27/2013,0
4/28/2013,0
4/29/2013,0
4/30/2013,0
5/01/2013,0
5/02/2013,0
5/03/2013,0
5/04/2013,0
5/05/2013,0
5/06/2013,0
5/07/2013,0
5/08/2013,0
5/09/2013,0
5/10/2013,0.54
5/11/2013,3.63
5/12/2013,0
5/13/2013,0
5/14/2013,0
5/15/2013,0
5/16/2013,0
5/17/2013,0
5/18/2013,0
5/19/2013,0
5/20/2013,0
5/21/2013,2.25
5/22/2013,6.3
5/23/2013,0
5/24/2013,0.28
5/25/2013,0
5/26/2013,0
5/27/2013,4.59
5/28/2013,10.21
5/29/2013,22.71
5/30/2013,0.16
5/31/2013,8.88
6/01/2013,0.17
6/02/2013,7.8
6/03/2013,5.29
6/04/2013,8.22
6/05/2013,3.24
6/06/2013,4.24
6/07/2013,0
6/08/2013,0
6/09/2013,0
6/10/2013,0.07
6/11/2013,0
6/12/2013,0.79
6/13/2013,0
6/14/2013,0
6/15/2013,2.58
6/16/2013,0
6/17/2013,0
6/18/2013,0
6/19/2013,0.28
6/20/2013,1.22
6/21/2013,0
6/22/2013,1.22
6/23/2013,0.26
6/24/2013,0
6/25/2013,0
6/26/2013,0
6/27/2013,0
6/28/2013,3.11
6/29/2013,27.72
6/30/2013,0
7/01/2013,0.75
7/02/2013,0
7/03/2013,1.1
7/04/2013,0
7/05/2013,0.25
7/06/2013,0.74
7/07/2013,0
7/08/2013,0
7/09/2013,3.67
7/10/2013,0.61
7/11/2013,18.9
7/12/2013,2.57
7/13/2013,0
7/14/2013,0
7/15/2013,0
7/16/2013,0
7/17/2013,3.83
7/18/2013,1.56
7/19/2013,0.55
7/20/2013,0.37
7/21/2013,1.15
7/22/2013,0.11
7/23/2013,0
7/24/2013,0.2
7/25/2013,0.55
7/26/2013,0
7/27/2013,0
7/28/2013,1.98
7/29/2013,0
7/30/2013,0.32
7/31/2013,0.44
8/01/2013,0
8/02/2013,0
8/03/2013,0
8/04/2013,0
8/05/2013,0
8/06/2013,0
8/07/2013,0
8/08/2013,0
8/09/2013,0
8/10/2013,0
8/11/2013,4.53
8/12/2013,16.73
8/13/2013,0
8/14/2013,0
8/15/2013,0.46
8/16/2013,0
8/17/2013,0
8/18/2013,0
8/19/2013,0
8/20/2013,0
8/21/2013,0
8/22/2013,6.91
8/23/2013,4.21
8/24/2013,21.11
8/25/2013,2.75
8/26/2013,0
8/27/2013,0.81
8/28/2013,7.72
8/29/2013,1.29
8/30/2013,0
8/31/2013,3.6
9/01/2013,14.13
9/02/2013,7.77
9/03/2013,1.34
9/04/2013,0.2
9/05/2013,0.29
9/06/2013,21.25
9/07/2013,4.88
9/08/2013,0.08
9/09/2013,9.64
9/10/2013,1.52
9/11/2013,47.12
9/12/2013,3.37
9/13/2013,1.67
9/14/2013,0.67
9/15/2013,16.17
9/16/2013,12.77
9/17/2013,0.3
9/18/2013,5.23
9/19/2013,19.81
9/20/2013,0
9/21/2013,0.2
9/22/2013,1.32
9/23/2013,0.35
9/24/2013,0.43
9/25/2013,0
9/26/2013,12.05
9/27/2013,4.88
9/28/2013,10.58
9/29/2013,4.83
9/30/2013,1.28
10/01/2013,3.59
10/02/2013,11.42
10/03/2013,0.19
10/04/2013,0.42
10/05/2013,1.84
10/06/2013,4.19
10/07/2013,0.39
10/08/2013,0
10/09/2013,0
10/10/2013,0
10/11/2013,8.55
10/12/2013,0
10/13/2013,0
10/14/2013,0
10/15/2013,2.73
10/16/2013,2.23
10/17/2013,2.06
10/18/2013,1.74
10/19/2013,2.87
10/20/2013,2.24
10/21/2013,0.11
10/22/2013,0.48
10/23/2013,0.48
10/24/2013,0.16
10/25/2013,0
10/26/2013,11.29
10/27/2013,3.15
10/28/2013,6.18
10/29/2013,0
10/30/2013,0.92
10/31/2013,0.43
11/01/2013,4.17
11/02/2013,6.51
11/03/2013,16.82
11/04/2013,0.58
11/05/2013,0.17
11/06/2013,1.46
11/07/2013,5.59
11/08/2013,8.24
11/09/2013,1.83
11/10/2013,1.1
11/11/2013,0
11/12/2013,0
11/13/2013,0.66
11/14/2013,0
11/15/2013,0
11/16/2013,0
11/17/2013,0.11
11/18/2013,0
11/19/2013,0
11/20/2013,0
11/21/2013,0
11/22/2013,0.25
11/23/2013,0.13
11/24/2013,0
11/25/2013,0
11/26/2013,0
11/27/2013,0
11/28/2013,0
11/29/2013,0
11/30/2013,0
12/01/2013,0
12/02/2013,0
12/03/2013,0
12/04/2013,0
12/05/2013,0
12/06/2013,0
12/07/2013,0.18
12/08/2013,0
12/09/2013,0.4
12/10/2013,0.49
12/11/2013,0
12/12/2013,0
12/13/2013,0
12/14/2013,0
12/15/2013,0
12/16/2013,0
12/17/2013,0
12/18/2013,0
12/19/2013,0
12/20/2013,0
12/21/2013,0
12/22/2013,0
12/23/2013,0
12/24/2013,0
12/25/2013,0
12/26/2013,0
12/27/2013,0
12/28/2013,0
12/29/2013,0
12/30/2013,0
12/31/2013,0
1/01/2014,0
1/02/2014,0
1/03/2014,0
1/04/2014,0
1/05/2014,0
1/06/2014,0
1/07/2014,0
1/08/2014,0
1/09/2014,0
1/10/2014,0
1/11/2014,0
1/12/2014,0
1/13/2014,0
1/14/2014,0
1/15/2014,0
1/16/2014,0
1/17/2014,0
1/18/2014,0
1/19/2014,0
1/20/2014,0
1/21/2014,0
1/22/2014,0
1/23/2014,0
1/24/2014,0
1/25/2014,0
1/26/2014,0
1/27/2014,0
1/28/2014,0
1/29/2014,0
1/30/2014,0
1/31/2014,0
2/01/2014,0
2/02/2014,0
2/03/2014,0
2/04/2014,0
2/05/2014,0
2/06/2014,0
2/07/2014,0
2/08/2014,0
2/09/2014,0
2/10/2014,0
2/11/2014,0
2/12/2014,0
2/13/2014,0
2/14/2014,0
2/15/2014,0
2/16/2014,0
2/17/2014,0
2/18/2014,0
2/19/2014,0
2/20/2014,0
2/21/2014,0
2/22/2014,0
2/23/2014,0
2/24/2014,0
2/25/2014,0
2/26/2014,0
2/27/2014,0
2/28/2014,0
3/01/2014,0
3/02/2014,0
3/03/2014,0
3/04/2014,0
3/05/2014,0
3/06/2014,0
3/07/2014,0
3/08/2014,0
3/09/2014,0
3/10/2014,0
3/11/2014,0
3/12/2014,0
3/13/2014,0
3/14/2014,0
3/15/2014,0
3/16/2014,0
3/17/2014,0
3/18/2014,0
3/19/2014,0
3/20/2014,0
3/21/2014,0
3/22/2014,0
3/23/2014,0
3/24/2014,0
3/25/2014,0
3/26/2014,0
3/27/2014,0
3/28/2014,0
3/29/2014,0
3/30/2014,0
3/31/2014,0
4/01/2014,0
4/02/2014,0
4/03/2014,0
4/04/2014,0
4/05/2014,0
4/06/2014,0
4/07/2014,0
4/08/2014,0
4/09/2014,0
4/10/2014,0
4/11/2014,0
4/12/2014,0
